INFO;SymPer;Pip/Y;Trd/Y;RF=MaxPrf/Y/DD;PF;DD/LastDD;iDD;MO/Spred;SD;MO/SD;iRF=MaxPrf/iDD;W/L*W%;  = ;RISK=PF*RF;Magic;FltLen;PicCnt;Target;Power;Days;Rev;LevTyp;fGlb;iFlt;iPic;A;a;Ak;PicVal;iSignal;iParam;D;Stp;Prf;oImp;oFlt;oGlb;oPic;Trl;Wknd;tk;T0;T1;tp; ;start;03.01.2022;04.01.2022;05.01.2022;06.01.2022;07.01.2022;10.01.2022;11.01.2022;12.01.2022;13.01.2022;14.01.2022;17.01.2022;18.01.2022;19.01.2022;20.01.2022;21.01.2022;24.01.2022;25.01.2022;26.01.2022;27.01.2022;28.01.2022;31.01.2022;01.02.2022;02.02.2022;03.02.2022;04.02.2022;07.02.2022;08.02.2022;09.02.2022;10.02.2022;11.02.2022;14.02.2022;15.02.2022;16.02.2022;17.02.2022;18.02.2022;21.02.2022;22.02.2022;23.02.2022;24.02.2022;25.02.2022;28.02.2022;01.03.2022;02.03.2022;03.03.2022;04.03.2022;07.03.2022;08.03.2022;09.03.2022;10.03.2022;11.03.2022;14.03.2022;15.03.2022;16.03.2022;17.03.2022;18.03.2022;21.03.2022;22.03.2022;23.03.2022;24.03.2022;25.03.2022;28.03.2022;29.03.2022;30.03.2022;31.03.2022;01.04.2022;04.04.2022;05.04.2022;06.04.2022;07.04.2022;08.04.2022;11.04.2022;12.04.2022;13.04.2022;14.04.2022;18.04.2022;19.04.2022;20.04.2022;21.04.2022;22.04.2022;25.04.2022;26.04.2022;27.04.2022;28.04.2022;29.04.2022;02.05.2022;03.05.2022;04.05.2022;05.05.2022;06.05.2022;09.05.2022;10.05.2022;11.05.2022;12.05.2022;13.05.2022;16.05.2022;17.05.2022;18.05.2022;19.05.2022;20.05.2022;23.05.2022;24.05.2022;25.05.2022;26.05.2022;27.05.2022;30.05.2022;31.05.2022;01.06.2022;02.06.2022;03.06.2022;06.06.2022;07.06.2022;08.06.2022;09.06.2022;10.06.2022;13.06.2022;14.06.2022;15.06.2022;16.06.2022;17.06.2022;20.06.2022;21.06.2022;22.06.2022;23.06.2022;24.06.2022;27.06.2022;28.06.2022;29.06.2022;30.06.2022;01.07.2022;04.07.2022;05.07.2022;06.07.2022;07.07.2022;08.07.2022;11.07.2022;12.07.2022;13.07.2022;14.07.2022;15.07.2022;18.07.2022;19.07.2022;20.07.2022;21.07.2022;22.07.2022;25.07.2022;26.07.2022;27.07.2022;28.07.2022;29.07.2022;01.08.2022;02.08.2022;03.08.2022;04.08.2022;05.08.2022;08.08.2022;09.08.2022;10.08.2022;11.08.2022;12.08.2022;15.08.2022;16.08.2022;17.08.2022;18.08.2022;19.08.2022;22.08.2022;23.08.2022;24.08.2022;25.08.2022;26.08.2022;29.08.2022;30.08.2022;31.08.2022;01.09.2022;02.09.2022;05.09.2022;06.09.2022;07.09.2022;08.09.2022;09.09.2022;12.09.2022;13.09.2022;14.09.2022;15.09.2022;16.09.2022;19.09.2022;20.09.2022;21.09.2022;22.09.2022;23.09.2022;26.09.2022;27.09.2022;28.09.2022;29.09.2022;30.09.2022;03.10.2022;04.10.2022;05.10.2022;06.10.2022;07.10.2022;10.10.2022;11.10.2022;12.10.2022;13.10.2022;14.10.2022;17.10.2022;18.10.2022;19.10.2022;20.10.2022;21.10.2022;24.10.2022;25.10.2022;26.10.2022;27.10.2022;28.10.2022;31.10.2022;01.11.2022;02.11.2022;03.11.2022;04.11.2022;07.11.2022;08.11.2022;09.11.2022;10.11.2022;11.11.2022;14.11.2022;15.11.2022;16.11.2022;17.11.2022;18.11.2022;21.11.2022;22.11.2022;23.11.2022;24.11.2022;25.11.2022;28.11.2022;29.11.2022;30.11.2022;01.12.2022;02.12.2022;05.12.2022;06.12.2022;07.12.2022;08.12.2022;09.12.2022;12.12.2022;13.12.2022;14.12.2022;15.12.2022;16.12.2022;19.12.2022;20.12.2022;21.12.2022;22.12.2022;23.12.2022;27.12.2022;28.12.2022;29.12.2022;30.12.2022;03.01.2023;04.01.2023;05.01.2023;06.01.2023;09.01.2023;10.01.2023;11.01.2023;12.01.2023;13.01.2023;16.01.2023;17.01.2023;18.01.2023;19.01.2023;20.01.2023;23.01.2023;24.01.2023;25.01.2023;26.01.2023;27.01.2023;30.01.2023;31.01.2023;01.02.2023;02.02.2023;03.02.2023;06.02.2023;07.02.2023;08.02.2023;09.02.2023;10.02.2023;13.02.2023;14.02.2023;15.02.2023;16.02.2023;17.02.2023;20.02.2023;21.02.2023;22.02.2023;23.02.2023;24.02.2023;27.02.2023;28.02.2023;01.03.2023;02.03.2023;03.03.2023;06.03.2023;07.03.2023;08.03.2023;09.03.2023;10.03.2023;13.03.2023;14.03.2023;15.03.2023;16.03.2023;17.03.2023;03.04.2023;04.04.2023;05.04.2023;06.04.2023;10.04.2023;11.04.2023;12.04.2023;13.04.2023;14.04.2023;17.04.2023;18.04.2023;19.04.2023;20.04.2023;21.04.2023;24.04.2023;25.04.2023;26.04.2023;27.04.2023;28.04.2023;01.05.2023;02.05.2023;03.05.2023;04.05.2023;05.05.2023;08.05.2023;09.05.2023;10.05.2023;11.05.2023;12.05.2023;15.05.2023;16.05.2023;17.05.2023
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;224;8;0.66;1.49; 564_193;710;0.27;175;1.5;63; 1.9*54 =;102;1;162753763;10;2;0;6;0;0;1;1;1;2;15;4;1;30;1;1;-1;2;3;0;1;1;0;3;0;0;6;8;3; ; ;0;0;0;0;0;0;0;0;0;0;-14;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;-24;-98;-98;-187;-217;-141;-194;-475;-520;-35;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;141;6;-96;-184;-226;-170;-212;-208;-18;-8;110;228;340;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;383;449;449;352;352;352;352;352;352;352;352;352;514;792;716;716;716;716;716;716;716;716;686;802;943;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749;749
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;-299;5;0;0; 484_462;2940;-0.57;76;-7.4;0; 0.0*14 =;0;1;118405264;10;2;0;9;0;0;4;0;0;2;15;4;1;20;1;1;-5;1;5;0;3;1;2;-4;0;0;8;8;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-207;-265;-275;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-286;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-323;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-295;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-385;-416;-385;-385;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394;-394
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;-378;9;-0.3;0.44; 502_492;1902;-0.42;170;-2.5;-9; 0.3*75 =;25;1;2117395822;10;2;0;9;0;0;4;0;0;2;15;4;1;20;1;1;-2;2;4;0;1;1;0;1;0;0;8;8;2; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;198;87;19;-91;41;-179;-169;-113;-201;-277;-277;-277;-277;-277;-277;-277;-277;-277;-277;-277;-277;-277;-277;-228;-199;-199;-199;-199;-199;-199;-199;-214;-223;-58;-58;-58;-58;-58;-58;-58;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;24;33;33;33;33;33;33;33;33;33;33;33;-17;27;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;-69;-65;-37;11;15;71;71;71;71;71;71;71;71;71;71;71;71;-36;-36;-36;-36;-51;-75;278;279;279;279;279;279;279;279;279;279;279;279;279;264;316;316;222;114;197;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;-684;7;-0.14;0.32; 863_863;3786;-1.01;270;-3.7;-5; 0.6*55 =;33;1;120211088;10;2;0;9;0;0;4;0;0;2;15;4;1;20;1;1;-2;4;4;0;1;2;0;3;0;0;8;8;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-61;-90;-249;-293;-274;-134;-178;-209;-146;-72;-273;-308;-133;-113;-152;-112;-306;-306;-306;-306;-306;-306;-306;-306;-306;-306;-306;-306;-306;-306;-306;-141;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-98;-107;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;19;64;398;398;398;398;398;398;398;398;398;398;398;398;398;398;398;398;398;398;398;273;277;306;354;223;152;120;100;-63;-122;-212;-212;-212;-212;-212;-212;-212;-296;-322;-322;-322;-333;-351;-88;-88;-88;-88;-88;-88;-88;-88;-88;-88;-88;-88;-88;-92;-40;-40;-120;-228;-145;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351;-351
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;-2022;11;-0.17;0.06; 2256_2256;11078;-1.92;182;-10.5;-3; 0.9*21 =;18;1;119154833;10;2;0;9;0;0;4;0;0;2;15;4;1;20;1;1;-4;4;4;0;0;2;0;4;0;0;8;8;1; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-339;-484;-484;-484;-484;-484;-484;-484;-484;-484;-484;-552;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-643;-728;-544;-490;-295;-147;-147;-147;-147;-147;-147;-147;-147;-299;-343;-324;-184;-228;-259;-196;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-94;-124;-235;-102;-323;-313;-257;-344;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-437;-514;-514;-514;-514;-514;-514;-514;-514;-514;-514;-514;-514;-514;-554;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-734;-795;-843;-874;-932;-942;-954;-915;-1039;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1201;-1266;-1297;-1317;-1481;-1540;-1630;-1630;-1630;-1630;-1630;-1630;-1630;-1684;-1709;-1709;-1709;-1709;-1709;-1709;-1709;-1868;-1908;-1908;-1908;-1908;-1908;-1908;-1908;-1908;-1908;-1908;-1911;-1795;-1795;-1795;-1897;-1814;-2020;-2020;-2020;-2020;-2020;-2020;-2020;-2020;-2020;-2020;-2020;-2020;-2186;-2186;-2186;-2186;-2186;-2186;-2186;-2186
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;-213;4;-0.25;0.21; 356_304;1044;-0.56;140;-4;-22; 0.5*60 =;32;1;187319954;10;2;0;9;0;0;3;0;0;0;15;4;3;20;1;1;-2;4;4;0;1;2;0;3;0;0;8;8;2; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-14;-93;-124;-47;-101;-184;-184;-184;-184;-184;-184;-184;-184;-184;-184;-184;-184;-184;-184;-184;-18;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;117;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-119;-116;-87;-38;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;-338;7;-0.49;0.05; 308_249;1232;-0.5;74;-6.7;-18; 1.2*33 =;39;1;911597053;10;2;0;6;0;0;1;1;0;1;15;2;1;30;1;1;-2;4;4;0;0;2;0;0;0;1;7;8;3; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-86;-14;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;-131;-91;37;37;37;37;37;37;37;37;37;37;37;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-153;-255;-255;-255;-255;-255;-255;-255;-255;-255;-255;-255;-255;-255;-255;-92;-92;-92;-92;-92;-92;-92;-92;-92;-169;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196;-196
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;-838;9;-0.23;0.17; 1033_791;5503;-0.93;142;-6.5;-5; 0.8*33 =;27;1;120075890;10;2;0;6;0;0;4;1;0;2;15;4;1;20;1;1;-2;3;4;0;1;1;0;3;0;0;6;8;2; ; ;0;0;0;0;0;0;0;-64;-64;-64;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-108;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-313;-421;-623;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-651;-748;-733;-851;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-896;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-974;-1032;-988;-653;-653;-653;-653;-653;-653;-653;-653;-653;-653;-653;-712;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-565;-466;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-575;-584;-532;-532;-532;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791;-791
SoSimple230.202 2022.01.03-2023.05.18, Sprd=100, StpLev=100, Swaps=-15.92, OPT-2009.01.02-2022.02.01;XAUUSD60;-668;7;-0.03;0.02; 888_888;4201;-0.98;69;-14.2;-1; 0.2*22 =;5;1;577314083;10;2;0;6;0;0;1;1;1;1;15;4;1;30;1;1;-3;2;4;0;1;1;0;2;0;1;4;8;3; ; ;0;0;0;0;0;0;0;0;0;0;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-37;-41;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-249;-266;-340;-340;-340;-340;-340;-340;-501;-546;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-305;-379;-483;-571;-613;-557;-599;-594;-405;-394;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-284;-439;-439;-439;-439;-439;-439;-439;-439;-439;-439;-439;-439;-439;-439;-439;-439;-439;-522;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-591;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-682;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850;-850
